region,ballotsIssued,voters,turnout,invalidBallots,validBallots
Челябинская область,279263,368348,75.81,0,279263
Ростовская область,76,102,74.51,0,76
Свердловская область,452177,561735,80.5,0,452177
Новосибирская область,1651,2078,79.45,0,1651
Калининградская область,267,377,70.82,0,267
Алтайский край,386381,480442,80.42,0,386381
Белгородская область,184106,240401,76.58,0,184106
Архангельская область,126804,161810,78.37,0,126804
Удмуртская Республика,1552,1862,83.35,0,1552
Республика Марий Эл,126159,149384,84.45,0,126159
Московская область,1183716,1464408,80.83,0,1183716
Мурманская область,67380,89358,75.4,0,67380
Псковская область,83877,104625,80.17,0,83877
Нижегородская область,201979,280772,71.94,0,201979
Липецкая область,121760,152459,79.86,0,121760
Ярославская область,137442,171226,80.27,0,137442
Костромская область,57889,70616,81.98,0,57889
Калужская область,119513,152501,78.37,0,119513
Новгородская область,87349,101304,86.22,0,87349
Смоленская область,186329,219931,84.72,0,186329
Владимирская область,2920,3918,74.53,0,2920
Томская область,157879,194568,81.14,0,157879
Вологодская область,79808,108484,73.57,0,79808
Республика Карелия,25994,35278,73.68,0,25994
Республика Крым,112123,150431,74.53,0,112123
Пермский край,6040,7737,78.07,0,6040
Республика Коми,118717,153485,77.35,0,118717
Республика Алтай,5400,6626,81.5,0,5400
Курганская область,53736,68820,78.08,0,53736
Магаданская область,463,604,76.66,0,463
Ненецкий автономный округ,4908,6498,75.53,0,4908
